country,panel_year,prior_3yr_avg_growth,any_shock_active,num_shocks_active,cpi_annual_avg,target_next_yr_growth
Brazil,2018,-0.062485345779850356,0,0,251.10683333333336,0.03740124288654023
Brazil,2019,0.0806328333854373,1,1,255.65741666666668,-0.17461335335063488
Brazil,2020,-0.01444437490212458,1,4,258.8111666666667,0.062102520782197246
Brazil,2021,-0.025036529893965803,1,3,270.96975000000003,0.07299015240927709
Brazil,2022,-0.013173560053053516,0,0,292.6549166666667,0.05180174544761407
Brazil,2023,0.0622981395463628,1,1,304.7015833333333,0.02342438893829879
Canada,2000,0.07110300060306152,0,0,172.20000000000002,0.04769888384242549
Canada,2001,0.0594009422227435,0,0,177.0666666666667,-3.7716634926354686e-05
Canada,2002,0.03958805593685355,1,1,179.875,0.018831118758653176
Canada,2003,0.02216409532205077,1,1,183.95833333333337,0.040725754185857
Canada,2004,0.019839718769861275,0,0,188.88333333333333,0.0022008457287956418
Canada,2005,0.020585906224435273,0,0,195.29166666666663,0.0027619436133345943
Canada,2006,0.015229514509329078,0,0,201.59166666666667,0.026898065084992595
Canada,2007,0.010620284809040944,0,0,207.34241666666665,0.02199312449241475
Canada,2008,0.017217711063580648,0,0,215.3025,-0.05367631168978981
Canada,2009,-0.001595040704127489,0,0,214.537,-0.02151238442085024
Canada,2010,-0.0177318572060751,0,0,218.0555,-0.02667217172894354
Canada,2011,-0.03395362261319453,0,0,224.9391666666667,0.019787274853442227
Canada,2012,-0.009465760432117184,0,0,229.59391666666667,0.03403069979779083
Canada,2013,0.009048600974096507,0,0,232.95708333333337,-0.0383166561361179
Canada,2014,0.005167106171705053,0,0,236.73616666666663,-0.00985011561056659
Canada,2015,-0.004712023982964553,0,0,237.017,0.00340501457819542
Canada,2016,-0.01492058572282969,0,0,240.00716666666665,-0.043650981556746515
Canada,2017,-0.01669869419637256,0,0,245.11958333333337,0.008187472463134782
Canada,2018,-0.010686164838472104,0,0,251.10683333333336,-0.004989072788529114
Canada,2019,-0.013484193960713617,1,1,255.65741666666668,-0.03320927058192069
Canada,2020,-0.010003623635771675,1,4,258.8111666666667,0.07173870382591652
Canada,2021,0.011180120151822237,1,3,270.96975000000003,0.0314478719654776
Canada,2022,0.02332576840315781,0,0,292.6549166666667,0.03946075851472841
Canada,2023,0.04754911143537418,1,1,304.7015833333333,0.03073194772063559
China,2000,0.09575072461852763,0,0,172.20000000000002,0.05315095824133742
China,2001,0.07445084142993252,0,0,177.0666666666667,0.02416346620382548
China,2002,0.05768838302123017,1,1,179.875,-0.04730494185571743
China,2003,0.010003160863148489,1,1,183.95833333333337,0.012197628058185472
China,2004,-0.0036479491979021597,0,0,188.88333333333333,0.0009432077754549795
China,2005,-0.011388035340692326,0,0,195.29166666666663,0.07894815952036538
